variant,m,median_seconds,gflops,cycles,instructions,ipc,fp_ops,fp_ops_per_cycle,l1d_miss_rate,l2_load_hit_rate,l3_miss_rate,tlb_walk_per_kinst,dtlb_load_miss_per_kinst,min_mux_pct
tiled_ikj_avx2,2048,0.012460,86.172402,163200571.000000,392520597.000000,2.405142,2165309455.000000,13.267781,0.192270,0.836720,0.088800,0.010534,0.194698,100.000000
tiled_ikj_avx2,4096,0.046570,92.226647,611352347.000000,1545635025.000000,2.528223,8659140623.000000,14.163912,0.190209,0.857507,0.084089,0.016624,0.196657,100.000000
tiled_ikj_avx2,8192,0.202014,85.042854,2532359300.000000,6129169245.000000,2.420340,34632368143.000000,13.675930,0.191071,0.839451,0.082660,0.003875,0.287358,100.000000
tiled_ikj_avx2,16384,0.841529,81.660226,10505424367.000000,24426008062.000000,2.325085,138521083919.000000,13.185672,0.192664,0.812189,0.101152,0.003529,0.628076,100.000000
tiled_ikj_omp,512,0.000674,99.510320,77877468.000000,31672669.000000,0.406699,135528463.000000,1.740278,0.101869,0.226632,0.208121,0.234650,0.354533,100.000000
tiled_ikj_omp,1024,0.001272,211.052415,115614993.000000,106559243.000000,0.921673,541589519.000000,4.684423,0.142030,0.305149,0.128843,0.076389,0.178342,100.000000
tiled_ikj_omp,2048,0.005896,182.108973,377041033.000000,402235240.000000,1.066821,2165309455.000000,5.742901,0.160949,0.221290,0.119466,0.021806,0.136813,100.000000
tiled_ikj_omp,4096,0.030618,140.275068,1673973774.000000,1569367136.000000,0.937510,8659140623.000000,5.172805,0.169014,0.254092,0.113830,0.011335,0.264289,100.000000
tiled_ikj_omp,8192,0.092912,184.904780,5595532716.000000,6191947565.000000,1.106588,34632368143.000000,6.189289,0.181255,0.257988,0.111678,0.007992,0.470444,100.000000
tiled_ikj_omp,16384,0.383837,179.032792,21598803327.000000,24628956667.000000,1.140293,138521083919.000000,6.413368,0.185219,0.250829,0.142096,0.049932,0.780159,100.000000
